# slide|column|x|y|width|height|text
1|0|0.09677|0.51744|0.05376|0.02907|12
1|0|0.10484|0.48401|0.03763|0.02035|13
1|0|0.10215|0.3343|0.04301|0.02035|17
1|0|0.09946|0.11483|0.04301|0.0218|23
1|0|0.16398|0.94041|0.37097|0.01459|ONYX COFFEE LAB / USA
1|0|0.16398|0.93143|0.70699|0.00929|THE WORLD'S BEST COFFEE SHOP AND THE BEST COFFEE SHOP IN NORTH, CENTRAL AMERICA AND THE
1|0|0.16398|0.92286|0.26075|0.00883|CARIBBEAN SPONSORED BY DA VINCI
1|0|0.16398|0.89971|0.42204|0.01458|TIM WENDELBOE / NORWAY
1|0|0.16398|0.88929|0.78226|0.00929|THE SECOND BEST COFFEE SHOP IN THE WORLD AND THE BEST COFFEE SHOP IN EUROPE SPONSORED BY SLAYER
1|0|0.16398|0.86047|0.50806|0.01599|ALQUIMIA COFFEE / EL SALVADOR
1|0|0.16398|0.85286|0.50806|0.00929|THE THIRD BEST COFFEE SHOP IN THE WORLD SPONSORED BY MARKIBAR
1|0|0.16398|0.82703|0.75|0.01453|ONLY COFFEE PROJECT CROWS NEST / AUSTRALIA
1|0|0.16398|0.81977|0.55645|0.00738|THE BEST COFFEE SHOP IN OCEANIA SPONSORED BY FEDERACION NACIONAL DE
1|0|0.16398|0.8125|0.38441|0.0075|CAFETEROS DE COLOMBIA - CRAFT SPECIALTY COFFEES
1|0|0.85484|0.81541|0.0914|0.00888|NEW ENTRY
1|0|0.16129|0.78343|0.70968|0.01599|TOBY'S ESTATE COFFEE ROASTERS / AUSTRALIA
1|0|0.16398|0.75|0.51344|0.01599|APARTMENT COFFEE / SINGAPORE
1|0|0.16398|0.74273|0.4086|0.00727|THE BEST COFFEE SHOP IN ASIA SPONSORED BY CROPSTER
1|0|0.16398|0.70929|0.50538|0.01455|GOTA COFFEE EXPERTS / AUSTRIA
1|0|0.16398|0.67143|0.4086|0.01607|STORY OF ONO / MALAYSIA
1|0|0.16129|0.63929|0.49731|0.015|TROPICALIA COFFEE / COLOMBIA
1|0|0.16398|0.62929|0.47581|0.0088|THE BEST COFFEE SHOP IN SOUTH AMERICA SPONSORED BY FIDATEC
1|0|0.16129|0.59857|0.25|0.01643|TANAT / FRANCE
1|0|0.16398|0.56071|0.30376|0.015|FANKØR / ECUADOR
1|0|0.85484|0.56541|0.0914|0.00888|NEW ENTRY
1|0|0.16398|0.52326|0.45968|0.01603|ARCANE ESTATE COFFEE / USA
1|0|0.85484|0.52762|0.0914|0.00881|NEW ENTRY
1|0|0.16398|0.48837|0.39516|0.01453|BETA COFFEE / AUSTRALIA
1|0|0.85484|0.49128|0.0914|0.00872|NEW ENTRY
1|0|0.16398|0.45349|0.5672|0.01453|NOMADIC SPECIALTY COFFEE / EGYPT
1|0|0.16381|0.44455|0.24224|0.01053|THE BEST COFFEE SHOP IN AFRICA
1|0|0.85484|0.45494|0.09409|0.00727|NEW ENTRY
1|0|0.16398|0.41424|0.41129|0.01599|NEMESIS COFFEE / CANADA
1|0|0.85484|0.41857|0.0914|0.0073|NEW ENTRY
1|0|0.16398|0.37786|0.51613|0.01458|NOMAD FRUTAS SELECTAS / SPAIN
1|0|0.16398|0.34|0.55376|0.01643|KAFI WASI CAFÉ TOSTADURÍA / PERU
1|0|0.85484|0.34286|0.09409|0.00889|NEW ENTRY
